NOC;Edition;Sport;Bronze;Gold;Silver
USA;1984;Rowing;1;2;5
USA;1984;Judo;1;;1
USA;1984;Hockey;1;;
USA;1984;Fencing;1;;
USA;1984;Canoe / Kayak;1;;
USA;1984;Boxing;1;9;1
USA;1984;Volleyball;;1;1
USA;1984;Sailing;;3;4
USA;1984;Modern Pentathlon;;;1
USA;1984;Equestrian;;3;2
USA;1984;Basketball;;2;
USA;1984;Archery;;1;1
USA;1972;Aquatics;14;18;15
USA;1972;Athletics;8;6;8
USA;1972;Boxing;3;1;
USA;1972;Sailing;2;1;
USA;1972;Wrestling;1;3;2
USA;1972;Equestrian;1;;2
USA;1972;Canoe / Kayak;1;;
USA;1972;Shooting;;2;2
USA;1972;Rowing;;;1
USA;1972;Basketball;;;1
USA;1972;Archery;;2;
USA;1932;Aquatics;8;9;6
USA;1932;Athletics;6;16;13
USA;1932;Gymnastics;5;5;6
USA;1932;Boxing;3;2;
USA;1932;Weightlifting;2;;
USA;1932;Fencing;2;;1
USA;1932;Equestrian;2;1;2
USA;1932;Modern Pentathlon;1;;
USA;1932;Hockey;1;;
USA;1932;Wrestling;;3;2
USA;1932;Sailing;;2;1
USA;1932;Rowing;;3;1
USA;1964;Aquatics;11;16;10
USA;1964;Shooting;3;2;2
USA;1964;Sailing;3;;2
USA;1964;Boxing;3;1;
USA;1964;Athletics;3;14;7
USA;1964;Wrestling;1;;
USA;1964;Weightlifting;1;;1
USA;1964;Rowing;1;2;1
USA;1964;Judo;1;;
USA;1964;Canoe / Kayak;1;;1
USA;1964;Modern Pentathlon;;;1
USA;1964;Equestrian;;;1
USA;1964;Basketball;;1;
USA;2012;Aquatics;8;18;10
USA;2012;Athletics;7;9;12
USA;2012;Rowing;2;1;
USA;2012;Gymnastics;2;3;1
USA;2012;Wrestling;1;2;
USA;2012;Tennis;1;3;
USA;2012;Taekwondo;1;;
USA;2012;Shooting;1;3;
USA;2012;Judo;1;1;
USA;2012;Fencing;1;;
USA;2012;Cycling;1;1;2
USA;2012;Boxing;1;1;
USA;2012;Volleyball;;1;2
USA;2012;Football;;1;
USA;2012;Basketball;;2;
USA;2012;Archery;;;1
USA;2004;Aquatics;10;12;9
USA;2004;Athletics;5;8;12
USA;2004;Wrestling;2;1;3
USA;2004;Equestrian;2;1;2
USA;2004;Volleyball;1;1;
USA;2004;Triathlon;1;;
USA;2004;Judo;1;;
USA;2004;Gymnastics;1;2;6
USA;2004;Fencing;1;1;
USA;2004;Cycling;1;1;1
USA;2004;Boxing;1;1;
USA;2004;Basketball;1;1;
USA;2004;Tennis;;;1
USA;2004;Taekwondo;;1;1
USA;2004;Softball;;1;
USA;2004;Shooting;;2;1
USA;2004;Sailing;;1;1
USA;2004;Rowing;;1;1
USA;2004;Football;;1;
USA;2004;Canoe / Kayak;;;1
USA;1988;Athletics;6;13;7
USA;1988;Aquatics;6;10;10
USA;1988;Wrestling;3;2;1
USA;1988;Tennis;2;2;1
USA;1988;Sailing;2;1;2
USA;1988;Boxing;2;3;3
USA;1988;Rowing;1;;2
USA;1988;Judo;1;;1
USA;1988;Gymnastics;1;;
USA;1988;Cycling;1;;
USA;1988;Basketball;1;1;
USA;1988;Archery;1;1;1
USA;1988;Volleyball;;1;
USA;1988;Shooting;;;1
USA;1988;Equestrian;;;2
USA;1988;Canoe / Kayak;;2;
USA;1924;Athletics;10;12;10
USA;1924;Aquatics;9;13;9
USA;1924;Shooting;2;5;2
USA;1924;Rowing;2;2;1
USA;1924;Boxing;2;2;2
USA;1924;Wrestling;1;4;1
USA;1924;Equestrian;1;;
USA;1924;Tennis;;5;1
USA;1924;Rugby;;1;
USA;1924;Polo;;;1
USA;1924;Gymnastics;;1;
USA;1920;Athletics;8;9;12
USA;1920;Shooting;6;13;4
USA;1920;Aquatics;6;11;7
USA;1920;Wrestling;3;1;2
USA;1920;Skating;1;;
USA;1920;Polo;1;;
USA;1920;Fencing;1;;
USA;1920;Boxing;1;3;
USA;1920;Rugby;;1;
USA;1920;Rowing;;3;1
USA;1920;Ice Hockey;;;1
USA;1996;Boxing;5;1;
USA;1996;Athletics;5;13;5
USA;1996;Aquatics;4;14;11
USA;1996;Sailing;2;;
USA;1996;Equestrian;2;;2
USA;1996;Wrestling;1;3;4
USA;1996;Shooting;1;1;1
USA;1996;Rowing;1;;3
USA;1996;Judo;1;;
USA;1996;Gymnastics;1;2;2
USA;1996;Cycling;1;;2
USA;1996;Baseball;1;;
USA;1996;Volleyball;;1;1
USA;1996;Tennis;;3;
USA;1996;Softball;;1;
USA;1996;Football;;1;
USA;1996;Canoe / Kayak;;;1
USA;1996;Basketball;;2;
USA;1996;Archery;;2;
USA;1976;Aquatics;9;15;15
USA;1976;Athletics;8;6;8
USA;1976;Wrestling;2;1;3
USA;1976;Sailing;1;;2
USA;1976;Rowing;1;;2
USA;1976;Judo;1;;
USA;1976;Gymnastics;1;;
USA;1976;Equestrian;1;2;1
USA;1976;Boxing;1;5;1
USA;1976;Weightlifting;;;1
USA;1976;Shooting;;2;1
USA;1976;Basketball;;1;1
USA;1976;Archery;;2;
USA;1948;Athletics;10;12;5
USA;1948;Aquatics;3;12;10
USA;1948;Wrestling;1;2;1
USA;1948;Weightlifting;1;4;3
USA;1948;Sailing;1;2;1
USA;1948;Rowing;1;2;
USA;1948;Gymnastics;1;;
USA;1948;Fencing;1;;
USA;1948;Shooting;;1;1
USA;1948;Modern Pentathlon;;;1
USA;1948;Equestrian;;1;2
USA;1948;Canoe / Kayak;;1;2
USA;1948;Boxing;;;1
USA;1948;Basketball;;1;
USA;1912;Athletics;12;16;14
USA;1912;Shooting;3;7;4
USA;1912;Cycling;2;;
USA;1912;Equestrian;1;;
USA;1912;Aquatics;1;2;1
USA;1956;Aquatics;7;5;8
USA;1956;Athletics;5;16;10
USA;1956;Wrestling;1;;1
USA;1956;Weightlifting;1;4;2
USA;1956;Shooting;1;;
USA;1956;Sailing;1;1;
USA;1956;Rowing;1;3;2
USA;1956;Modern Pentathlon;;;1
USA;1956;Boxing;;2;1
USA;1956;Basketball;;1;
USA;1952;Athletics;6;15;10
USA;1952;Aquatics;6;8;4
USA;1952;Equestrian;2;;
USA;1952;Wrestling;1;1;2
USA;1952;Shooting;1;1;
USA;1952;Rowing;1;2;
USA;1952;Weightlifting;;4;2
USA;1952;Sailing;;2;1
USA;1952;Canoe / Kayak;;1;
USA;1952;Boxing;;5;
USA;1952;Basketball;;1;
USA;1960;Athletics;6;12;8
USA;1960;Aquatics;3;11;7
USA;1960;Modern Pentathlon;2;;
USA;1960;Weightlifting;1;1;4
USA;1960;Sailing;1;1;
USA;1960;Rowing;1;1;
USA;1960;Fencing;1;;
USA;1960;Boxing;1;3;
USA;1960;Wrestling;;3;
USA;1960;Shooting;;1;1
USA;1960;Equestrian;;;1
USA;1960;Basketball;;1;
USA;1928;Athletics;8;9;8
USA;1928;Aquatics;5;10;5
USA;1928;Rowing;1;2;2
USA;1928;Fencing;1;;
USA;1928;Boxing;1;;2
USA;1928;Wrestling;;1;1
USA;1900;Athletics;10;16;13
USA;1900;Tennis;1;;
USA;1900;Sailing;1;;
USA;1900;Golf;1;2;1
USA;1900;Cycling;1;;
USA;1900;Rowing;;1;
USA;1936;Aquatics;5;6;7
USA;1936;Athletics;4;14;7
USA;1936;Rowing;1;1;
USA;1936;Canoe / Kayak;1;;
USA;1936;Boxing;1;;1
USA;1936;Wrestling;;1;3
USA;1936;Weightlifting;;1;
USA;1936;Modern Pentathlon;;;1
USA;1936;Equestrian;;;1
USA;1936;Basketball;;1;
USA;1908;Athletics;8;16;10
USA;1908;Aquatics;2;1;
USA;1908;Shooting;1;3;2
USA;1908;Archery;1;;
USA;1908;Wrestling;;2;
USA;1908;Jeu de paume;;1;
USA;1896;Athletics;2;9;6
USA;1896;Shooting;;2;1
URS;1980;Athletics;12;15;14
URS;1980;Aquatics;7;11;11
URS;1980;Gymnastics;5;9;8
URS;1980;Equestrian;3;3;6
URS;1980;Wrestling;2;12;3
URS;1980;Rowing;2;1;9
URS;1980;Judo;2;2;1
URS;1980;Hockey;2;;
URS;1980;Fencing;2;3;3
URS;1980;Cycling;2;3;1
URS;1980;Canoe / Kayak;2;4;2
URS;1980;Shooting;1;3;1
URS;1980;Sailing;1;1;1
URS;1980;Modern Pentathlon;1;2;
URS;1980;Football;1;;
URS;1980;Boxing;1;1;6
URS;1980;Basketball;1;1;
URS;1980;Weightlifting;;5;3
URS;1980;Volleyball;;2;
URS;1980;Handball;;1;1
URS;1980;Archery;;1;2
URS;1988;Athletics;10;10;6
URS;1988;Shooting;6;4;1
URS;1988;Aquatics;6;2;2
URS;1988;Judo;4;;1
URS;1988;Gymnastics;4;12;5
URS;1988;Wrestling;3;8;4
URS;1988;Fencing;3;1;1
URS;1988;Cycling;2;4;1
URS;1988;Boxing;2;1;1
URS;1988;Sailing;1;;1
URS;1988;Rowing;1;;2
URS;1988;Modern Pentathlon;1;;
URS;1988;Handball;1;1;
URS;1988;Basketball;1;1;
URS;1988;Archery;1;;
URS;1988;Weightlifting;;6;2
URS;1988;Volleyball;;1;1
URS;1988;Football;;1;
URS;1988;Canoe / Kayak;;3;3
URS;1976;Athletics;10;4;4
URS;1976;Aquatics;7;2;3
URS;1976;Rowing;4;1;4
URS;1976;Boxing;4;;1
URS;1976;Gymnastics;2;7;8
URS;1976;Fencing;2;3;2
URS;1976;Wrestling;1;12;5
URS;1976;Shooting;1;1;1
URS;1976;Judo;1;2;2
URS;1976;Football;1;;
URS;1976;Basketball;1;1;
URS;1976;Archery;1;;1
URS;1976;Weightlifting;;7;1
URS;1976;Volleyball;;;2
URS;1976;Sailing;;;2
URS;1976;Modern Pentathlon;;;1
URS;1976;Handball;;2;
URS;1976;Cycling;;1;1
URS;1976;Canoe / Kayak;;6;3
URS;1964;Athletics;11;5;2
URS;1964;Gymnastics;5;4;10
URS;1964;Judo;4;;
URS;1964;Aquatics;4;1;1
URS;1964;Wrestling;3;3;4
URS;1964;Fencing;2;3;1
URS;1964;Equestrian;2;;
URS;1964;Boxing;2;3;4
URS;1964;Modern Pentathlon;1;1;1
URS;1964;Canoe / Kayak;1;3;
URS;1964;Weightlifting;;4;3
URS;1964;Volleyball;;1;1
URS;1964;Shooting;;;2
URS;1964;Rowing;;2;
URS;1964;Cycling;;;1
URS;1964;Basketball;;;1
URS;1956;Athletics;10;5;7
URS;1956;Gymnastics;6;11;6
URS;1956;Wrestling;5;6;2
URS;1956;Aquatics;3;;
URS;1956;Fencing;2;;
URS;1956;Canoe / Kayak;2;2;3
URS;1956;Boxing;2;3;1
URS;1956;Shooting;1;3;4
URS;1956;Rowing;1;2;1
URS;1956;Weightlifting;;3;4
URS;1956;Modern Pentathlon;;1;
URS;1956;Football;;1;
URS;1956;Basketball;;;1
URS;1960;Gymnastics;8;10;8
URS;1960;Wrestling;5;3;2
URS;1960;Athletics;5;11;5
URS;1960;Cycling;4;1;
URS;1960;Shooting;3;2;2
URS;1960;Fencing;2;3;2
URS;1960;Boxing;2;1;2
URS;1960;Rowing;1;2;2
URS;1960;Aquatics;1;;1
URS;1960;Weightlifting;;5;1
URS;1960;Sailing;;1;1
URS;1960;Modern Pentathlon;;;1
URS;1960;Equestrian;;1;
URS;1960;Canoe / Kayak;;3;1
URS;1960;Basketball;;;1
URS;1968;Gymnastics;8;5;5
URS;1968;Athletics;8;3;2
URS;1968;Aquatics;4;;7
URS;1968;Canoe / Kayak;3;2;1
URS;1968;Shooting;2;2;1
URS;1968;Wrestling;1;3;5
URS;1968;Rowing;1;1;
URS;1968;Modern Pentathlon;1;;1
URS;1968;Boxing;1;3;2
URS;1968;Basketball;1;;
URS;1968;Weightlifting;;3;3
URS;1968;Volleyball;;2;
URS;1968;Sailing;;1;
URS;1968;Fencing;;3;4
URS;1968;Equestrian;;1;1
URS;1972;Gymnastics;4;6;6
URS;1972;Fencing;3;2;2
URS;1972;Aquatics;3;2;2
URS;1972;Judo;2;1;1
URS;1972;Wrestling;1;9;4
URS;1972;Weightlifting;1;3;1
URS;1972;Volleyball;1;1;
URS;1972;Shooting;1;1;2
URS;1972;Sailing;1;1;
URS;1972;Modern Pentathlon;1;1;1
URS;1972;Football;1;;
URS;1972;Cycling;1;2;
URS;1972;Athletics;1;9;7
URS;1972;Archery;1;;
URS;1972;Rowing;;2;
URS;1972;Equestrian;;1;1
URS;1972;Canoe / Kayak;;6;
URS;1972;Boxing;;2;
URS;1972;Basketball;;1;
URS;1952;Athletics;7;2;8
URS;1952;Boxing;4;;2
URS;1952;Wrestling;2;6;2
URS;1952;Shooting;2;1;1
URS;1952;Gymnastics;2;9;11
URS;1952;Weightlifting;1;3;3
URS;1952;Canoe / Kayak;1;;
URS;1952;Rowing;;1;2
URS;1952;Basketball;;;1
GBR;1908;Shooting;8;6;7
GBR;1908;Boxing;5;5;4
GBR;1908;Wrestling;4;3;4
GBR;1908;Tennis;4;6;5
GBR;1908;Rackets;3;2;2
GBR;1908;Athletics;3;7;7
GBR;1908;Skating;2;1;2
GBR;1908;Tug of War;1;1;1
GBR;1908;Sailing;1;4;1
GBR;1908;Rowing;1;4;3
GBR;1908;Jeu de paume;1;;1
GBR;1908;Cycling;1;5;3
GBR;1908;Archery;1;2;2
GBR;1908;Aquatics;1;5;2
GBR;1908;Water Motorsports;;2;
GBR;1908;Rugby;;;1
GBR;1908;Polo;;1;2
GBR;1908;Lacrosse;;;1
GBR;1908;Hockey;;1;1
GBR;1908;Gymnastics;;;1
GBR;1908;Football;;1;
GBR;1908;Fencing;;;1
GBR;1984;Athletics;6;3;7
GBR;1984;Aquatics;4;;1
GBR;1984;Shooting;3;1;
GBR;1984;Judo;2;;1
GBR;1984;Wrestling;1;;
GBR;1984;Weightlifting;1;;
GBR;1984;Sailing;1;;
GBR;1984;Hockey;1;;
GBR;1984;Equestrian;1;;2
GBR;1984;Boxing;1;;
GBR;1984;Rowing;;1;
GBR;2012;Rowing;3;4;2
GBR;2012;Gymnastics;3;;1
GBR;2012;Aquatics;3;;1
GBR;2012;Cycling;2;8;2
GBR;2012;Triathlon;1;1;
GBR;2012;Taekwondo;1;1;
GBR;2012;Judo;1;;1
GBR;2012;Field hockey;1;;
GBR;2012;Equestrian;1;3;1
GBR;2012;Canoe / Kayak;1;2;1
GBR;2012;Athletics;1;4;1
GBR;2012;Tennis;;1;1
GBR;2012;Shooting;;1;
GBR;2012;Sailing;;1;4
GBR;2012;Modern Pentathlon;;;1
GBR;2012;Boxing;;3;1
GBR;1912;Athletics;5;2;1
GBR;1912;Shooting;4;1;4
GBR;1912;Aquatics;4;2;2
GBR;1912;Tennis;2;2;2
GBR;1912;Gymnastics;1;;
GBR;1912;Tug of War;;;1
GBR;1912;Rowing;;2;2
GBR;1912;Football;;1;
GBR;1912;Fencing;;;1
GBR;1912;Cycling;;;2
GBR;2008;Rowing;2;2;2
GBR;2008;Equestrian;2;;
GBR;2008;Cycling;2;8;4
GBR;2008;Boxing;2;1;
GBR;2008;Aquatics;2;2;2
GBR;2008;Taekwondo;1;;
GBR;2008;Sailing;1;4;1
GBR;2008;Gymnastics;1;;
GBR;2008;Canoe / Kayak;1;1;1
GBR;2008;Athletics;1;1;2
GBR;2008;Modern Pentathlon;;;1
GBR;1920;Athletics;4;4;4
GBR;1920;Boxing;3;2;1
GBR;1920;Wrestling;2;;
GBR;1920;Tennis;1;2;3
GBR;1920;Skating;1;;
GBR;1920;Cycling;1;1;3
GBR;1920;Aquatics;1;1;2
GBR;1920;Tug of War;;1;
GBR;1920;Sailing;;2;
GBR;1920;Rowing;;;2
GBR;1920;Polo;;1;
GBR;1920;Hockey;;1;
GBR;2004;Sailing;2;2;1
GBR;2004;Canoe / Kayak;2;;1
GBR;2004;Aquatics;2;;1
GBR;2004;Rowing;1;1;2
GBR;2004;Modern Pentathlon;1;;
GBR;2004;Equestrian;1;1;1
GBR;2004;Cycling;1;2;1
GBR;2004;Athletics;1;3;
GBR;2004;Archery;1;;
GBR;2004;Boxing;;;1
GBR;2004;Badminton;;;1
GBR;1992;Athletics;4;2;
GBR;1992;Judo;2;;2
GBR;1992;Archery;2;;
GBR;1992;Sailing;1;;
GBR;1992;Hockey;1;;
GBR;1992;Boxing;1;;
GBR;1992;Aquatics;1;;
GBR;1992;Rowing;;2;
GBR;1992;Cycling;;1;
GBR;1992;Canoe / Kayak;;;1
GBR;1960;Athletics;4;1;3
GBR;1960;Boxing;3;;
GBR;1960;Aquatics;3;1;1
GBR;1960;Weightlifting;1;;
GBR;1960;Equestrian;1;;
GBR;1960;Fencing;;;2
GBR;1924;Athletics;5;3;3
GBR;1924;Tennis;2;;1
GBR;1924;Aquatics;2;1;2
GBR;1924;Wrestling;1;;
GBR;1924;Polo;1;;
GBR;1924;Cycling;1;;1
GBR;1924;Shooting;;1;2
GBR;1924;Sailing;;;1
GBR;1924;Rowing;;2;
GBR;1924;Fencing;;;1
GBR;1924;Boxing;;2;2
GBR;1956;Sailing;2;;1
GBR;1956;Equestrian;2;1;
GBR;1956;Cycling;2;;1
GBR;1956;Boxing;2;2;1
GBR;1956;Athletics;2;1;4
GBR;1956;Aquatics;1;1;
GBR;1956;Fencing;;1;
GBR;1988;Athletics;2;;6
GBR;1988;Rowing;1;1;
GBR;1988;Modern Pentathlon;1;;
GBR;1988;Judo;1;;
GBR;1988;Equestrian;1;;2
GBR;1988;Boxing;1;;
GBR;1988;Archery;1;;
GBR;1988;Aquatics;1;1;1
GBR;1988;Shooting;;1;1
GBR;1988;Sailing;;1;
GBR;1988;Hockey;;1;
GBR;1980;Athletics;4;4;2
GBR;1980;Rowing;2;;1
GBR;1980;Judo;1;;1
GBR;1980;Boxing;1;;
GBR;1980;Aquatics;1;1;3
GBR;1972;Boxing;3;;
GBR;1972;Judo;2;;1
GBR;1972;Athletics;2;1;1
GBR;1972;Shooting;1;;
GBR;1972;Cycling;1;;
GBR;1972;Sailing;;1;1
GBR;1972;Equestrian;;2;1
GBR;1972;Aquatics;;;1
GBR;1900;Tennis;3;4;1
GBR;1900;Athletics;2;3;3
GBR;1900;Sailing;1;3;
GBR;1900;Rowing;1;;
GBR;1900;Golf;1;;1
GBR;1900;Aquatics;1;3;
GBR;1900;Rugby;;;1
GBR;1900;Football;;1;
GBR;1900;Cricket;;1;
GBR;1952;Athletics;4;;1
GBR;1952;Wrestling;1;;
GBR;1952;Hockey;1;;
GBR;1952;Cycling;1;;
GBR;1952;Aquatics;1;;
GBR;1952;Sailing;;;1
GBR;1952;Equestrian;;1;
GBR;2000;Cycling;2;1;1
GBR;2000;Athletics;2;2;2
GBR;2000;Modern Pentathlon;1;1;
GBR;2000;Canoe / Kayak;1;;1
GBR;2000;Badminton;1;;
GBR;2000;Shooting;;1;1
GBR;2000;Sailing;;3;2
GBR;2000;Rowing;;2;1
GBR;2000;Judo;;;1
GBR;2000;Equestrian;;;1
GBR;2000;Boxing;;1;
GBR;1928;Aquatics;2;;2
GBR;1928;Wrestling;1;;
GBR;1928;Rowing;1;1;2
GBR;1928;Gymnastics;1;;
GBR;1928;Cycling;1;;3
GBR;1928;Athletics;1;2;2
GBR;1928;Fencing;;;1
GBR;1996;Cycling;2;;
GBR;1996;Athletics;2;;4
GBR;1996;Rowing;1;1;
GBR;1996;Aquatics;1;;1
GBR;1996;Tennis;;;1
GBR;1996;Sailing;;;2
GBR;1948;Cycling;2;;3
GBR;1948;Weightlifting;1;;1
GBR;1948;Equestrian;1;;
GBR;1948;Athletics;1;;6
GBR;1948;Aquatics;1;;
GBR;1948;Sailing;;1;
GBR;1948;Rowing;;2;1
GBR;1948;Hockey;;;1
GBR;1948;Boxing;;;2
GBR;1976;Judo;1;;1
GBR;1976;Cycling;1;;
GBR;1976;Boxing;1;;
GBR;1976;Athletics;1;;
GBR;1976;Aquatics;1;1;1
GBR;1976;Sailing;;1;1
GBR;1976;Rowing;;;2
GBR;1976;Modern Pentathlon;;1;
GBR;1932;Athletics;2;2;4
GBR;1932;Aquatics;2;;
GBR;1932;Cycling;1;;1
GBR;1932;Sailing;;;1
GBR;1932;Rowing;;2;
GBR;1932;Fencing;;;1
GBR;1968;Sailing;1;1;
GBR;1968;Equestrian;1;1;2
GBR;1968;Athletics;1;1;2
GBR;1968;Shooting;;1;
GBR;1968;Boxing;;1;
GBR;1968;Aquatics;;;1
GBR;1936;Sailing;1;1;
GBR;1936;Equestrian;1;;
GBR;1936;Cycling;1;;
GBR;1936;Rowing;;1;1
GBR;1936;Polo;;;1
GBR;1936;Athletics;;2;5
GBR;1964;Equestrian;1;;
GBR;1964;Athletics;1;4;7
GBR;1964;Weightlifting;;;1
GBR;1964;Sailing;;;1
GBR;1964;Rowing;;;1
GBR;1964;Fencing;;;1
GBR;1964;Aquatics;;;1
GBR;1896;Cycling;1;;1
GBR;1896;Athletics;1;;1
GBR;1896;Weightlifting;;1;1
GBR;1896;Tennis;;1;
GBR;1904;Athletics;;1;1
FRA;1900;Fencing;5;5;5
FRA;1900;Archery;4;3;5
FRA;1900;Aquatics;4;1;2
FRA;1900;Shooting;3;3;4
FRA;1900;Sailing;2;1;3
FRA;1900;Equestrian;2;1;
FRA;1900;Croquet;2;3;2
FRA;1900;Athletics;2;1;4
FRA;1900;Tennis;1;;1
FRA;1900;Rowing;1;2;3
FRA;1900;Gymnastics;1;1;1
FRA;1900;Cycling;1;2;2
FRA;1900;Tug of War;;;1
FRA;1900;Rugby;;1;
FRA;1900;Football;;;1
FRA;1900;Cricket;;;1
FRA;1900;Basque Pelota;;;1
FRA;2008;Aquatics;3;1;2
FRA;2008;Sailing;2;;1
FRA;2008;Rowing;2;;
FRA;2008;Judo;2;;2
FRA;2008;Wrestling;1;1;
FRA;2008;Taekwondo;1;;
FRA;2008;Shooting;1;;
FRA;2008;Gymnastics;1;;1
FRA;2008;Cycling;1;2;3
FRA;2008;Canoe / Kayak;1;;1
FRA;2008;Boxing;1;;2
FRA;2008;Athletics;1;;1
FRA;2008;Archery;1;;
FRA;2008;Weightlifting;;;1
FRA;2008;Handball;;1;
FRA;2008;Fencing;;2;2
FRA;1992;Judo;4;2;1
FRA;1992;Fencing;3;2;
FRA;1992;Canoe / Kayak;3;;1
FRA;1992;Aquatics;3;;
FRA;1992;Handball;1;;
FRA;1992;Equestrian;1;;
FRA;1992;Cycling;1;;1
FRA;1992;Table Tennis;;;1
FRA;1992;Shooting;;;1
FRA;1992;Sailing;;2;
FRA;1992;Athletics;;1;
FRA;1992;Archery;;1;
FRA;1984;Fencing;3;2;2
FRA;1984;Canoe / Kayak;3;;1
FRA;1984;Judo;2;;1
FRA;1984;Athletics;2;1;1
FRA;1984;Sailing;1;;
FRA;1984;Modern Pentathlon;1;;
FRA;1984;Gymnastics;1;;
FRA;1984;Cycling;1;;
FRA;1984;Boxing;1;;
FRA;1984;Aquatics;1;;1
FRA;1984;Shooting;;1;1
FRA;1984;Football;;1;
FRA;1996;Rowing;3;;1
FRA;1996;Judo;3;3;
FRA;1996;Fencing;3;2;2
FRA;1996;Canoe / Kayak;2;1;
FRA;1996;Shooting;1;1;
FRA;1996;Equestrian;1;;
FRA;1996;Cycling;1;5;3
FRA;1996;Athletics;1;3;
FRA;1996;Wrestling;;;1
FRA;2004;Aquatics;3;1;2
FRA;2004;Wrestling;2;;
FRA;2004;Fencing;2;3;1
FRA;2004;Athletics;2;;
FRA;2004;Taekwondo;1;;1
FRA;2004;Sailing;1;1;
FRA;2004;Cycling;1;1;1
FRA;2004;Canoe / Kayak;1;2;
FRA;2004;Tennis;;;1
FRA;2004;Rowing;;1;1
FRA;2004;Judo;;;1
FRA;2004;Gymnastics;;1;
FRA;2004;Equestrian;;1;
FRA;2004;Boxing;;;1
FRA;1948;Canoe / Kayak;4;;
FRA;1948;Athletics;3;2;3
FRA;1948;Cycling;2;3;
FRA;1948;Aquatics;2;;
FRA;1948;Wrestling;1;;
FRA;1948;Equestrian;1;2;1
FRA;1948;Fencing;;3;1
FRA;1948;Basketball;;;1
FRA;1920;Fencing;3;1;4
FRA;1920;Tennis;2;2;
FRA;1920;Gymnastics;2;;1
FRA;1920;Weightlifting;1;2;
FRA;1920;Rowing;1;;1
FRA;1920;Cycling;1;1;
FRA;1920;Boxing;1;1;1
FRA;1920;Athletics;1;1;2
FRA;1920;Archery;1;1;4
FRA;1920;Shooting;;;2
FRA;1920;Sailing;;;1
FRA;1920;Rugby;;;1
FRA;1920;Equestrian;;;2
FRA;2000;Judo;2;2;2
FRA;2000;Tennis;1;;
FRA;2000;Taekwondo;1;;
FRA;2000;Table Tennis;1;;
FRA;2000;Rowing;1;2;
FRA;2000;Fencing;1;1;4
FRA;2000;Cycling;1;5;2
FRA;2000;Canoe / Kayak;1;1;1
FRA;2000;Boxing;1;1;
FRA;2000;Aquatics;1;;1
FRA;2000;Shooting;;1;1
FRA;2000;Gymnastics;;;2
FRA;2000;Basketball;;;1
FRA;1924;Athletics;3;;
FRA;1924;Cycling;2;4;
FRA;1924;Tennis;1;;3
FRA;1924;Sailing;1;;
